DATE,Net Asset Value (TZS),Outstanding Number of Units,NAV per Unit (TZS),Sale Price Per Unit (TZS),Repurchase Price Per Unit (TZS)
15-10-2025,26848463486,231685836,115.8735,115.8735,115.8735
13-10-2025,26812454042,231564042,115.779,115.779,115.779
10/10/2025,26657770116,230481365,115.6518,115.6518,115.6518
10/09/2025,26613807051,230188787,115.6078,115.6078,115.6078
10/08/2025,26455576797,228902449,115.5663,115.5663,115.5663
10/07/2025,26375068747,228299451,115.5189,115.5189,115.5189
10/06/2025,26064604676,225724282,115.4615,115.4615,115.4615
10/03/2025,25995805957,225380638,115.3323,115.3323,115.3323
10/02/2025,26066959304,226146700,115.2562,115.2562,115.2562
10/01/2025,25894197837,224726836,115.2157,115.2157,115.2157
30-09-2025,25249132515,219215383,115.1701,115.1701,115.1701
29-09-2025,25181570984,218704718,115.1301,115.1301,115.1301
26-09-2025,24965366584,216969314,115.0546,115.0546,115.0546
25-09-2025,24860224566,216139428,115.0099,115.0099,115.0099
24-09-2025,24592426848,213891748,114.9666,114.9666,114.9666
23-09-2025,24473579352,212880314,114.9546,114.9546,114.9546
22-09-2025,24429569039,212563194,114.9191,114.9191,114.9191
19-09-2025,24243471009,211067264,114.8519,114.8519,114.8519
18-09-2025,24239086947,211041547,114.8451,114.8451,114.8451
17-09-2025,24164454490,210422801,114.8282,114.8282,114.8282
16-09-2025,24125616122,210130797,114.8029,114.8029,114.8029
15-09-2025,24105829449,209997220,114.7817,114.7817,114.7817
09/12/2025,24035635160,209469148,114.736,114.736,114.736
09/11/2025,23936737571,208662822,114.7055,114.7055,114.7055
09/10/2025,23972711327,208977958,114.7046,114.7046,114.7046
09/09/2025,24106781889,210184700,114.6839,114.6839,114.6839
09/08/2025,24070607020,209956463,114.6363,114.6363,114.6363
09/04/2025,23389601282,204989689,114.092,114.092,114.092
09/03/2025,23348639411,204741694,114.0301,114.0301,114.0301
09/02/2025,23433858906,205569774,113.9853,113.9853,113.9853
09/01/2025,23353414280,204930635,113.9483,113.9483,113.9483
29-08-2025,23320089406,204706838,113.9101,113.9101,113.9101
28-08-2025,23338828614,204936085,113.8741,113.8741,113.8741
27-08-2025,23321785883,204799040,113.8671,113.8671,113.8671
26-08-2025,23334308399,204955923,113.841,113.841,113.841
25-08-2025,23272298144,204482579,113.8013,113.8013,113.8013
22-08-2025,23163614060,203852081,113.6202,113.6202,113.6202
21-08-2025,22961396337,202165995,113.5676,113.5676,113.5676
20-08-2025,22741343938,200497829,113.4151,113.4151,113.4151
19-08-2025,22701347004,200199210,113.3845,113.3845,113.3845
18-08-2025,22569106153,199285872,113.2406,113.2406,113.2406
15-08-2025,22463667526,198501908,113.1567,113.1567,113.1567
14-08-2025,23788601568,210286644,113.1153,113.1153,113.1153
13-08-2025,23632995243,208988163,113.0736,113.0736,113.0736
08/12/2025,23238148200,205524984,113.058,113.058,113.058
08/11/2025,21987044028,194486648,113.0424,113.0424,113.0424
08/07/2025,21875537227,193712610,112.9185,112.9185,112.9185
08/06/2025,21986156566,194744714,112.888,112.888,112.888
08/05/2025,22191875177,196667262,112.8304,112.8304,112.8304
08/04/2025,22057577198,195542270,112.7928,112.7928,112.7928
08/01/2025,19840049487,175990175,112.7246,112.7246,112.7246
31-07-2025,19871300747,176323422,112.6888,112.6888,112.6888
30-07-2025,20030266470,177759367,112.6727,112.6727,112.6727
29-07-2025,19506788201,173479370,112.4352,112.4352,112.4352
28-07-2025,19503491750,173533233,112.3813,112.3813,112.3813
25-07-2025,19441229476,173083677,112.3135,112.3135,112.3135
24-07-2025,19393352884,172709660,112.2795,112.2795,112.2795
23-07-2025,18337285611,163891971,111.8772,111.8772,111.8772
22-07-2025,17791192743,159066276,111.8385,111.8385,111.8385
21-07-2025,17778107380,159015087,111.7922,111.7922,111.7922
18-07-2025,17732163512,158636806,111.7692,111.7692,111.7692
17-07-2025,17623085973,157722828,111.7253,111.7253,111.7253
16-07-2025,17470392964,156407663,111.6886,111.6886,111.6886
15-07-2025,17413884122,155925981,111.6713,111.6713,111.6713
14-07-2025,17372847035,155650107,111.6056,111.6056,111.6056
07/11/2025,17187680821,154072060,111.5469,111.5469,111.5469
07/10/2025,17054188757,152920646,111.514,111.514,111.514
07/09/2025,16877146415,151426186,111.4454,111.4454,111.4454
07/08/2025,16832067677,151025987,111.4423,111.4423,111.4423
07/04/2025,16541475598,148513793,111.3709,111.3709,111.3709
07/03/2025,16516609112,148308609,111.3564,111.3564,111.3564
07/02/2025,16231009606,148372754,109.3845,109.3845,109.3845
07/01/2025,16257833195,148670359,109.3459,109.3459,109.3459
30-06-2025,16230881198,148533190,109.2655,109.2655,109.2655
27-06-2025,16160000402,147995081,109.1838,109.1838,109.1838
26-06-2025,15670351156,143578124,109.1327,109.1327,109.1327
25-06-2025,15661882478,143537558,109.1045,109.1045,109.1045
24-06-2025,15649629502,143475241,109.0665,109.0665,109.0665
23-06-2025,15620511904,143260226,109.027,109.027,109.027
20-06-2025,14355154146,131706977,108.9842,108.9842,108.9842
19-06-2025,14312964357,131368357,108.944,108.944,108.944
18-06-2025,14236750903,130710727,108.909,108.909,108.909
17-06-2025,14486447097,133218805,108.7328,108.7328,108.7328
16-06-2025,14476481700,133180165,108.6895,108.6895,108.6895
13-06-2025,14319416270,131897433,108.5559,108.5559,108.5559
06/12/2025,14292527117,131712279,108.5043,108.5043,108.5043
06/11/2025,14268546102,131551346,108.4548,108.4548,108.4548
06/10/2025,14235787511,131317164,108.3988,108.3988,108.3988
06/09/2025,14049688502,129642124,108.364,108.364,108.364
06/06/2025,14014677225,129600562,108.1286,108.1286,108.1286
06/05/2025,14004766681,129558349,108.0873,108.0873,108.0873
06/04/2025,13843851570,128107714,108.0553,108.0553,108.0553
06/03/2025,14257824038,132002323,108.003,108.003,108.003
06/02/2025,14205801604,131560893,107.97,107.97,107.97
30-05-2025,14166704717,131460479,107.7551,107.7551,107.7551
29-05-2025,14437214593,134022997,107.7131,107.7131,107.7131
28-05-2025,14422406275,133939872,107.6694,107.6694,107.6694
27-05-2025,14419168709,133912628,107.6671,107.6671,107.6671
26-05-2025,14406235257,133839538,107.6293,107.6293,107.6293
23-05-2025,14338297667,133253238,107.593,107.593,107.593
22-05-2025,14681667920,136493018,107.5547,107.5547,107.5547
21-05-2025,14673741211,136469670,107.515,107.515,107.515
20-05-2025,14656216954,136344844,107.4849,107.4849,107.4849
